date,description,amount,type,category
11 Nov 2025,To Theo new house,5.0,expense,Transfer
11 Nov 2025,To Theo new house,6.3,expense,Transfer
11 Nov 2025,To Theo new house,3.1,expense,Transfer
12 Nov 2025,Interest earned - Theo new house,0.02,income,Interest
13 Nov 2025,Interest earned - Theo new house,0.01,income,Interest
13 Nov 2025,To Theo new house,5.0,expense,Transfer
13 Nov 2025,To Theo new house,5.0,expense,Transfer
13 Nov 2025,To Theo new house,10.0,expense,Transfer
14 Nov 2025,Interest earned - Theo new house,0.02,income,Interest
14 Nov 2025,From Theo new house,50.0,income,Transfer
14 Nov 2025,From Theo new house,18.0,income,Transfer
14 Nov 2025,To Theo new house,0.9,expense,Transfer
14 Nov 2025,To Theo new house,5.0,expense,Transfer
15 Nov 2025,Interest earned - Theo new house,0.02,income,Interest
15 Nov 2025,To Theo new house,3.2,expense,Transfer
15 Nov 2025,To Theo new house,5.0,expense,Transfer
16 Nov 2025,Interest earned - Theo new house,0.01,income,Interest
16 Nov 2025,To Theo new house,5.0,expense,Transfer
16 Nov 2025,To Theo new house,1.7,expense,Transfer
17 Nov 2025,Interest earned - Theo new house,0.02,income,Interest
17 Nov 2025,To Theo new house,5.0,expense,Transfer
18 Nov 2025,Interest earned - Theo new house,0.02,income,Interest
18 Nov 2025,To Theo new house,5.0,expense,Transfer
18 Nov 2025,To Theo new house,1.0,expense,Transfer
19 Nov 2025,Interest earned - Theo new house,0.02,income,Interest
19 Nov 2025,To Theo new house,5.0,expense,Transfer
19 Nov 2025,To Theo new house,8.4,expense,Transfer
20 Nov 2025,Interest earned - Theo new house,0.02,income,Interest
20 Nov 2025,To Theo new house,1.2,expense,Transfer
20 Nov 2025,To Theo new house,5.0,expense,Transfer
20 Nov 2025,To Theo new house,0.7,expense,Transfer
20 Nov 2025,From Theo new house,20.0,income,Transfer
20 Nov 2025,To Theo new house,1.0,expense,Transfer
21 Nov 2025,Interest earned - Theo new house,0.01,income,Interest
21 Nov 2025,From Theo new house,230.0,income,Transfer
21 Nov 2025,To Theo new house,0.2,expense,Transfer
22 Nov 2025,Interest earned - Theo new house,0.01,income,Interest
23 Nov 2025,Interest earned - Theo new house,0.01,income,Interest
23 Nov 2025,From Theo new house,100.0,income,Transfer
23 Nov 2025,To Theo new house,5.0,expense,Transfer
23 Nov 2025,To Theo new house,5.0,expense,Transfer
24 Nov 2025,Interest earned - Theo new house,0.01,income,Interest
24 Nov 2025,To Theo new house,5.0,expense,Transfer
24 Nov 2025,To Theo new house,10.0,expense,Transfer
25 Nov 2025,To Theo new house,5.0,expense,Transfer
26 Nov 2025,Interest earned - Theo new house,0.0,income,Interest
26 Nov 2025,To Theo new house,5.0,expense,Transfer
26 Nov 2025,To Theo new house,4.5,expense,Transfer
26 Nov 2025,To Theo new house,10.0,expense,Transfer
27 Nov 2025,Interest earned - Theo new house,0.01,income,Interest
27 Nov 2025,To Theo new house,5.0,expense,Transfer
13 Feb 2025,Savings Vault topup,2.0,expense,Savings
13 Feb 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
14 Feb 2025,Savings Vault topup,2.0,expense,Savings
14 Feb 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
15 Feb 2025,Savings Vault topup,2.0,expense,Savings
15 Feb 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
16 Feb 2025,Savings Vault topup,2.0,expense,Savings
16 Feb 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
17 Feb 2025,Savings Vault topup,2.0,expense,Savings
17 Feb 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
18 Feb 2025,Savings Vault topup,2.0,expense,Savings
18 Feb 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
19 Feb 2025,Savings Vault topup,2.0,expense,Savings
19 Feb 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
20 Feb 2025,Savings Vault topup,2.0,expense,Savings
20 Feb 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
21 Feb 2025,Savings Vault topup,2.0,expense,Savings
21 Feb 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
22 Feb 2025,Savings Vault topup,2.0,expense,Savings
22 Feb 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
23 Feb 2025,Savings Vault topup,2.0,expense,Savings
23 Feb 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
24 Feb 2025,Savings Vault topup,2.0,expense,Savings
24 Feb 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
26 Feb 2025,Savings Vault topup,2.0,expense,Savings
26 Feb 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
27 Feb 2025,Savings Vault topup,2.0,expense,Savings
27 Feb 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
28 Feb 2025,Savings Vault topup,2.0,expense,Savings
28 Feb 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
1 Mar 2025,Savings Vault topup,2.0,expense,Savings
1 Mar 2025,Saving vault topup prefunding wallet,2.0,expense,Savings
2 Mar 2025,Savings Vault topup,2.0,expense,Savings
